"Id","Lg","Lt","NId","D"
"174229","-5.98497732","37.36429564","169","0"
"310413","-5.99810905","37.37976523","9","0"
"191541","-6.00230409","37.37778631","5","X"
"172652","-5.96971733","37.39274417","46231","T"
"245742","-5.97701735","37.38367625","52","0"
"172901","-5.94214379","37.39714141","13","T"
"171905","-5.95077576","37.37108459","6","0"
"191825","-5.99992826","37.39947595","39","T"
"191979","-5.99359991","37.40656418","13","T"
"174335","-5.95780873","37.36247781","154","0"
"191530","-6.0131004","37.37627532","3","0"
"174218","-5.95491658","37.38650686","14","0"
"172546","-5.97074923","37.39351089","46162","0"
"183335","-5.96393513","37.40273956","12940","0"
"172011","-5.94934208","37.37455944","18","0"
"183372","-5.95345105","37.38728508","30094","0"
"173007","-5.94240298","37.39994646","50","X"
"245636","-5.98755457","37.36461811","46449","0"
"172214","-5.98724184","37.36804504","123","0"
"191839","-5.9983073","37.40112427","48","0"
"192088","-6.00878079","37.4066284","169","0"
"171859","-5.9789263","37.34382813","10","0"
"172105","-5.98241619","37.36052707","62","0"
"174527","-5.97278562","37.38715241","6","0"
"174776","-5.9725803","37.37362648","25","0"
"245696","-5.96788519","37.37491886","7","0"
"266005","-5.96339609","37.39940136","46213","0"
"172354","-5.964816","37.40678472","1118","T"
"172366","-5.9648926","37.40685408","46137","T"
"172698","-5.91788256","37.39076101","8","0"
"172452","-5.95915775","37.41453698","46260","0"
"172022","-5.95058604","37.37122909","59","0"
"191779","-6.01232687","37.396136","8","0"
"192025","-6.00766786","37.40642769","111","0"
"174713","-5.96031411","37.35949953","132","0"
"172168","-5.98698614","37.36815866","100","X"
"172709","-5.91121109","37.38583347","2","0"
"191693","-6.00200875","37.39099709","16","0"
"303237","-6.01361926","37.38902662","19","0"
"191484","-6.00735144","37.37520175","7","0"
"239977","-6.01037487","37.37354135","7","0"
"172512","-5.98766247","37.41375843","46323","0"
"245682","-5.97051219","37.39297657","5","0"
"172500","-5.96448841","37.4165819","1149","0"
"310319","-5.96534639","37.41726256","40993","0"
"183418","-5.96400449","37.42455276","7360","X"
"174381","-5.94743586","37.37542904","94","0"
"173053","-5.94427967","37.39912105","31","0"
"173041","-5.94411753","37.39953502","23","X"
"172844","-5.93024516","37.40278173","11","0"
"310505","-6.0145152","37.39230026","27","0"
"192125","-6.00931869","37.40707099","197","0"
"189380","-5.97643464","37.35653439","46608","T"
"191639","-6.01359307","37.39011859","11","0"
"191633","-6.01353419","37.38988173","5","0"
"239988","-6.01143662","37.37300538","18","0"
"245490","-5.97497084","37.3833662","28","0"
"172157","-5.9502401","37.38467015","8","0"
"245496","-5.97176036","37.39741283","1125","0"
"183232","-5.96735635","37.39415321","45882","T"
"245982","-5.95260725","37.37418302","84","T"
"172068","-5.94569542","37.37513809","26","0"
"172406","-5.95016252","37.40994886","46113","0"
"247411","-5.97796571","37.42366111","46474","0"
"245241","-5.96421432","37.42210228","44174","0"
"174321","-5.95607572","37.36478241","25","0"
"172993","-5.9433786","37.40031574","17","0"
"191733","-6.00414685","37.39408724","13","0"
"191739","-6.00345836","37.39482433","18","0"
"267036","-5.99674536","37.40956506","25","0"
"171919","-5.97899632","37.35420876","16","0"
"191438","-6.00883727","37.37361588","2","0"
"172460","-5.96165931","37.41069154","46070","0"
"174421","-5.98500321","37.37589853","20","T"
"174427","-5.98531653","37.37601699","26","0"
"183280","-5.94325679","37.38670751","30015","0"
"292168","-5.92224537","37.39602126","46711","0"
"250708","-5.91940341","37.4056747","7","0"
"254882","-5.98385477","37.42340237","46580","0"
"267030","-5.94422361","37.39761761","63","0"
"173093","-5.93469786","37.41099059","7","0"
"245882","-5.97257634","37.36851809","46461","T"
"172798","-5.91674333","37.39311749","13","0"
"172755","-5.9168485","37.38975478","8","0"
"191833","-5.9985817","37.40084523","44","0"
"192180","-6.00227002","37.40954326","46588","0"
"192082","-6.00892764","37.40659762","163","0"
"172111","-5.98256101","37.36077963","68","0"
"174770","-5.97413145","37.37254089","10","X"
"172606","-5.96683285","37.39019481","46316","0"
"174521","-5.97274894","37.38786701","15","X"
"172360","-5.96491536","37.40676367","46134","0"
"245444","-5.98904365","37.36263777","143","0"
"183180","-5.98271959","37.42189204","2955","0"
"172114","-5.98470562","37.36438923","71","0"
"174275","-5.95438881","37.36698094","171","0"
"172947","-5.9408934","37.3991845","6","0"
"191785","-6.0067366","37.39645006","46623","X"
"192228","-6.00169943","37.41164586","46645","0"
"192031","-6.00731241","37.40645062","117","0"
"191687","-6.00245701","37.39091055","11","0"
"247459","-6.01080132","37.37331864","48","0"
"245590","-5.97281931","37.38715895","10","T"
"174375","-5.94805922","37.37532529","88","0"
"183326","-5.95719623","37.3874832","30147","T"
